product_name,product_id,category,text,rating,filter_rating,user,date,seller,likes,aspects,sentiment
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,gayet güzel bir telefon alabilirsiniz sorunsuz geldi,1,1,**** ****,2026-02-11,Trendyol,0,KARGO,POZ
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Garanti belgesi içinde olmadığı için bır yıldız verıyorum gerısınde bır sıkıntı yoktu gayet sağlam bit şekilde ulaştı elıme,1,1,A** Y**,2025-09-22,Trendyol,0,KARGO|KALITE|HIZMET,POZ
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,sağlam geldi paketleme iyi şarj kablosu arızalı geldi.Ucuz sanmayın şarj adaptörü şarj kablosu 1200yl yapıyo onuda ekleyin fiyata,1,1,**** ****,2024-02-17,Trendyol,7,KARGO|KALITE|FIYAT|BATARYA,POZ
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Güzel bir ürün tavsiye ederim,1,1,S** Ç**,2024-07-12,Teknosa,0,GENEL,POZ
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Telefonu alalı 2 ay oldu. Birden şarj kesildi telefon şarj etmeyince garantiye gönderdim telefonumda donanımsal hata olduğunu söylediler tüm donanımsal parçalar,1,1,Ali B.,2023-07-18,Teknosa,3,BATARYA,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,ürün bozuk geldi üzerinde çizikler vesayre şarj soket yeri arızalı geri iade ettim,1,1,Y** G**,2026-02-26,Trendyol,0,KARGO|BATARYA|HIZMET,NEG
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Sıfır kutuyu ben açtığım halde kenarı çizik geldi medya market satıcıdan aldım iademin gerçekleşmesini istiyorum.,1,1,m** t**,2023-10-22,MediaMarkt,2,KARGO,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Telefon bozuk,1,1,M** e**,2026-04-26,Trendyol,0,GENEL,NEG
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Bosuk geldi super,1,1,B** N** O**,2024-12-23,Trendyol,1,KARGO,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Sarji üç saat dayanıyor malesef beğenmedim kesinlikle almayınız,1,1,E** K**,2025-09-24,Trendyol,2,GENEL,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,ürün arızalı çıktı Tüketici Hakem Heyeti ile birebir değişim kararı verildi 2 Ocak'tan belli ürünün değiştirilmesini bekliyorum Tam 2 aydır Trendyol ürünü değiş,1,1,T** G**,2024-03-04,Trendyol,10,GENEL,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,ürün bozuk geldi iade ettim kabul etmediğiniz sürece değişim istiyorum lutfen,1,1,**** ****,2025-01-31,MediaMarkt,0,KARGO|HIZMET,NEG
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Kesimlikle almayın aldırmayın telefon arızalandı garantiye gönderdim cihazda daha önce işlem yapılmış diye garanti dışı kaldı trendyol kabul etmiyor 38 bin tlm,1,1,M** D**,2025-01-13,Trendyol,11,HIZMET,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Şarj adaptörü yok,1,1,M** Ö**,2025-01-14,Trendyol,2,BATARYA,NOTR
Iphone 13 128 Gb Yildiz Isigi Cep Telefonu Apple Turkiye Garantili,150059024,Telefon,Cihazımın alt kısmında kasasında lekeler ve izler var. Bu cihaz kullanılmış gibi. Satıcının sorunumu gidermesini talep ediyorum . Fotoğraf ektedir.,1,1,C** Ç**,2024-01-22,Trendyol,2,MEDYA,NOTR
